Location,Date,Time,Traffic_Status
Chittoor,2025-06-03,14:11,High
Visakhapatnam,2025-07-14,16:20,Medium
West Godavari,2025-10-19,06:05,High
Vizianagaram,2025-02-03,18:08,Low
Nellore,2025-11-13,11:45,Low
Srikakulam,2025-12-10,21:05,Low
Nellore,2025-05-05,03:36,High
Visakhapatnam,2025-10-12,15:30,Low
Krishna,2025-07-03,12:48,High
Prakasam,2025-02-24,11:00,Low
Srikakulam,2025-11-21,19:25,Low
Anantapur,2025-11-23,06:13,High
Chittoor,2025-06-12,10:07,Low
Visakhapatnam,2025-04-18,17:51,High
Prakasam,2025-08-18,04:00,Medium
Krishna,2025-12-21,19:48,Medium
Nellore,2025-05-04,05:22,High
Vizianagaram,2025-02-10,16:36,Low
East Godavari,2025-03-26,10:32,Medium
Vizianagaram,2025-06-11,20:19,High
YSR Kadapa,2025-01-13,16:39,High
Vizianagaram,2025-11-27,16:49,Medium
Chittoor,2025-07-07,10:42,High
YSR Kadapa,2025-08-11,14:44,High
Nellore,2025-07-15,16:49,Medium
East Godavari,2025-07-16,20:12,Medium
Kurnool,2025-11-19,03:42,Medium
Anantapur,2025-01-17,09:57,High
West Godavari,2025-01-03,12:35,High
Guntur,2025-10-28,08:34,Low
YSR Kadapa,2025-05-11,05:26,High
Guntur,2025-08-12,06:41,Medium
West Godavari,2025-09-02,13:02,High
Srikakulam,2025-11-19,23:11,Low
Vizianagaram,2025-02-01,05:29,Low
Vizianagaram,2025-10-13,11:22,Low
East Godavari,2025-03-03,15:40,High
West Godavari,2025-08-07,21:41,High
East Godavari,2025-12-10,15:01,Medium
Visakhapatnam,2025-12-24,15:37,Low
West Godavari,2025-09-17,06:31,High
Kurnool,2025-12-17,06:29,Medium
Kurnool,2025-08-26,18:23,High
Srikakulam,2025-12-03,20:16,Low
East Godavari,2025-04-22,17:32,High
Guntur,2025-08-01,04:55,High
Nellore,2025-05-05,08:41,Medium
YSR Kadapa,2025-12-28,08:56,Low
Chittoor,2025-04-28,10:22,Low
East Godavari,2025-04-27,11:56,High
West Godavari,2025-06-11,06:31,High
Kurnool,2025-08-05,14:52,High
Nellore,2025-11-25,23:35,High
Krishna,2025-07-24,01:04,Medium
YSR Kadapa,2025-12-11,06:09,High
Anantapur,2025-06-22,22:44,Medium
Guntur,2025-08-19,08:04,High
Krishna,2025-11-14,20:50,Medium
Vizianagaram,2025-06-14,02:36,Medium
Anantapur,2025-08-06,12:00,High
Krishna,2025-05-21,23:40,High
Prakasam,2025-07-10,10:35,Low
Vizianagaram,2025-03-16,02:21,High
YSR Kadapa,2025-02-05,20:42,Low
West Godavari,2025-09-16,16:56,Medium
Guntur,2025-03-12,23:35,Medium
Srikakulam,2025-10-10,04:55,Low
Visakhapatnam,2025-11-13,04:31,Medium
Guntur,2025-07-04,09:38,Medium
